source	target	mor
MYC	TERT	1
SPI1	BGLAP	1
SMAD3	JUN	1
SMAD4	JUN	1
STAT5A	IL2	1
STAT5B	IL2	1
RELA	FAS	1
WT1	NR0B1	1
NR0B2	CASP1	1
SP1	ALDOA	1
TP53	IGF1R	-1
ZBTB16	CCNA2	-1
ETV6	IL3	-1
RUNX1	IL3	-1
RUNX1	RHD	1
STAT1	CDKN1A	1
STAT3	CDKN1A	1
TP53	POLI	1
ETV4	GGT1	1
MTF1	MCAT	1
CREB1	HMGCS2	1
FOXA2	GCG	1
NFATC2	GCG	1
CEBPB	PCK1	1
FOS	ABCB1	1
RELA	ABCB1	1
TP53	CDKN1A	1
TP53	RB1	-1
E2F1	CDKN1A	1
E2F3	CDKN1A	1
HBP1	CDKN1A	-1
YY1	NR3C1	1
ESR1	MAPK8	1
JUN	MAPK8	1
NR1I3	CYP2B6	1
CEBPG	IVL	1
MAFK	HBB	1
NFE2L3	HBB	1
TP53	ACTA1	1
TP53	BCL2	-1
PHOX2A	DBH	1
STAT4	IL12B	1
STAT4	IFNA1	1
STAT4	IRF1	1
ATF2	IL6	1
WT1	ODC1	1
NR2C2	CCND1	1
IRF3	IFNA1	1
TFAP2A	CCL13	1
HNF1A	IGF1	1
STAT5A	IGF1	1
ETS1	TIMP1	1
ETV4	TIMP1	1
CEBPB	ADRA1D	1
ARNT	CYP1B1	1
AHR	CYP1B1	1
TP53	CCNB1	-1
PAX6	L1CAM	1
CARF	CREBBP	1
STAT5A	CCND1	1
STAT5A	IL3	1
CEBPB	VLDLR	1
NFYA	VLDLR	1
CEBPG	VLDLR	1
TP53	MDM2	1
ZNF148	CDKN1A	1
NFIC	CREBBP	1
NFIC	SRC	1
NFIC	GAL	1
RBPJ	MYOD1	-1
RBPJ	HES1	1
ATF2	CCND1	1
JUN	CCND1	1
FOS	MAPK14	1
GATA4	INHA	1
GATA4	GATA6	1
GATA6	GATA4	1
E2F3	RBL1	1
NFATC2	IL4	1
HNF4A	GUCY2C	1
RXRG	SFTPB	1
RARA	SFTPB	1
JUN	CDKN1A	1
TP53	JUN	1
JUN	TP53	-1
STAT3	PRF1	1
DBP	JTB	1
HLF	JTB	1
HLF	F8	1
PPARG	SERPINE2	1
PPARG	SERPINE1	-1
MAX	PDLIM7	-1
USF2	PDLIM7	1
IRF1	SAMHD1	1
IRF2	SAMHD1	1
IRF1	IFNG	1
IRF1	NOS2	1
IRF2	NOS2	-1
SP1	FASLG	1
SP3	FASLG	1
AR	PRKACA	1
AR	KLK3	1
AR	ARR3	1
CUX1	CFTR	1
ATF1	CFTR	1
KAT7	CFTR	1
CREBZF	GAST	1
SP1	GAST	1
GLI3	GLI1	1
NKX2-5	NPPA	1
GATA4	NPPA	1
TGFB1I1	AR	1
AR	TGFB1I1	1
RARB	MMP11	1
RARG	MMP11	1
RARB	RARG	-1
RARG	RARB	1
JUN	CCL5	1
RELA	CD40	1
RELA	IFNG	1
TEAD1	TGFA	1
TFAP2A	TGFA	1
PPARA	NR1D1	1
ESR2	RARA	1
ESR1	RARA	1
RARA	ESR1	1
NR3C1	IRS2	1
PGR	IRS2	1
NRG1	UTRN	1
NRG1	CHRNE	1
TBP	GTF2A1	1
GTF2A1	TBP	1
REL	NOS2	1
PAX6	KRT12	1
ISL1	NHLH1	1
RARA	KRAS	1
RUNX1	KRAS	1
ZBTB14	MYC	-1
MYB	EPO	1
MYC	EPO	1
SP1	NF1	1
TP53	EIF2AK2	1
PITX1	LHB	1
EGR1	LHB	1
EGR1	PRKCG	1
SP1	MYOD1	1
MYOD1	SP1	-1
FOS	TP53	1
TP53	FOS	-1
ETS2	BCL2L1	1
GTF2I	FOS	1
GTF2I	SMARCA4	1
SP1	FOS	1
YY1	FOS	-1
SP1	EGR1	1
EGR1	SP1	1
NR2F1	EGR1	1
BTAF1	TBP	-1
TBP	BTAF1	1
TBP	DNAH8	1
MYC	ENO1	1
ENO1	MYC	-1
TP53	CCND1	-1
IRF2	ABCC8	1
IRF2	SMC3	1
FOS	RHOA	1
JDP2	LGALS1	1
JUN	DCTN1	1
MAZ	PNMT	1
SP1	PNMT	1
NFIC	PCK1	1
CREB1	PCK1	1
NR4A1	PCK1	1
HMGA1	NOS2	1
RELA	NOS2	1
NFKB1	NOS2	1
DDIT3	CEBPB	-1
CEBPB	DDIT3	1
DDIT3	ATF4	1
ATF4	DDIT3	1
ATF3	ATF4	1
ATF4	ATF3	1
ATF3	DDIT3	1
TAF1	CCNA2	1
RUNX2	BGLAP	1
TFAP2A	FABP2	1
TFAP2B	FABP2	1
ATF2	SELE	1
HMGA1	SELE	1
HNF1A	LCT	1
CREM	LIPE	1
SMAD4	SERPINE1	1
SMAD3	SERPINE1	1
STAT1	IRF8	1
IRF8	STAT1	-1
IRF8	IFNG	1
TP53	S100A2	1
PAX6	GCG	1
TP53	BAX	1
TP53	CCNG1	1
TP53	CHKA	1
TP53	GADD45A	1
ETV5	IFNG	1
STAT4	IFNG	1
DMTF1	CDKN2A	1
TP53	CDKN2A	1
PPARG	LPL	1
SP1	NPR1	1
SP3	NPR1	1
NR5A1	CYP17A1	1
SP1	RAC2	1
SP3	RAC2	1
NEUROD2	ITPR1	1
RUNX1	FOS	1
NEUROD1	AK1	1
FOXO3	FASLG	1
USF1	ADGRE4P	1
USF1	FASN	1
USF1	INS	1
MBD1	FGF2	1
CEBPD	IGF1	1
ELK1	SOD1	1
YY1	SOD1	1
FLI1	GP9	1
FLI1	ITGA2B	1
EGR1	ELK1	1
ELK1	EGR1	1
ELK4	EGR1	1
PREB	PRL	1
PREB	PRKACA	1
POU1F1	PRL	1
POU1F1	PREB	1
PREB	POU1F1	1
POU1F1	PRKACA	1
STAT3	POMC	1
TP53	PTGS2	-1
TBP	PTGS2	1
TP53	TICAM2	1
TBP	RB1	1
PAX5	RB1	1
CREB1	CHGA	1
TFAP2A	ST3GAL4	1
SP1	CLCN2	1
SP3	CLCN2	1
CEBPG	NOS2	1
CEBPB	NOS2	1
CEBPA	ALB	1
TP53	ALOX15	1
LITAF	TNF	1
IRF1	IFNL3	1
IRF2	IFNL3	1
IRF3	IFNL3	1
RELA	IFNL3	1
CREB1	CCND1	1
STAT1	IFNG	1
STAT6	IFNG	-1
JUN	IL6	1
EGR1	IL1B	1
EGR1	IL1A	1
HIF1A	EPO	1
HLF	EPO	1
MYC	CDC25A	1
TFAP2A	NQO1	1
FOS	TGFB1	1
TP53	MMP1	-1
SPI1	REG1A	1
POU1F1	GHRHR	1
ARNT	EPO	1
TP73	MDM2	1
TP73	TP53	1
TP53	TP73	1
MYC	EMP1	1
ESR1	EMP1	1
KLF11	HBG1	1
KLF11	HBB	1
NFATC2	TAT	1
TCF4	SSTR2	1
HIVEP2	SSTR2	1
ESR1	CRYAB	1
TP73	CDKN1A	1
E2F4	E2F1	-1
RUNX1	BCL2	1
POU1F1	TRHR	1
YY1	ACR	1
CREM	FSHB	-1
SP1	CDKN1A	1
GATA5	MYH7	1
GATA4	MYH7	1
GATA4	SLC8A1	1
SRF	SLC8A1	1
ELF1	IL5	1
ETS2	IL5	1
GATA3	IL5	1
ETS1	IL5	1
SP1	TGFB1	1
TBP	CREBBP	1
OTX2	NCAM1	1
LHX2	PCYT1A	1
SP1	PCYT1A	1
DDIT3	HSPA5	1
FOS	OXTR	1
GABPA	OXTR	1
JUN	OXTR	1
TP53	NGF	1
REL	IL2RA	1
FOS	AGTR2	1
HSF2	HSP90B2P	1
SP1	LDLR	1
YY1	LDLR	-1
CEBPA	PCK1	1
WT1	CDKN1A	1
VDR	RARB	1
HOXC8	SMAD1	1
HR	IGFBP1	1
ATF1	CAT	1
RELB	SRC	1
FOS	ERCC1	1
YY1	CXCR4	-1
MYC	CXCR4	1
USF1	CXCR4	1
CUX1	NOS2	1
CUX1	PI3	1
CREB1	ANG	1
NR5A1	SF1	1
TP53	ITSN1	1
CEBPE	ELANE	1
DDIT3	EPO	1
NR5A1	LHB	1
NR0B1	LHB	-1
ATF2	TNF	1
JUN	TNF	1
GATA4	ADORA1	1
NKX2-5	ADORA1	1
AR	ACOT11	1
GATA4	ACOT11	1
GATA4	AR	1
NKX2-5	ACOT11	1
NKX2-5	AR	1
CEBPB	KRAS	1
YY1	HMGCS2	-1
LEF1	CCND1	1
PAX6	SST	1
CEBPB	STAR	1
NR5A1	STAR	1
POU1F1	FOS	1
POU1F1	SSTR5	1
EGR1	CISH	1
NR5A1	RHD	1
SRF	FOS	1
FOS	TF	1
ID1	FOS	-1
ZNF143	STUB1	1
MYC	CDKN1A	-1
JUN	IL2	1
SOX9	MIA	1
IRF2	CDKN1A	1
IRF1	IFNA1	1
IRF2	IFNA1	1
IRF1	IRF2	1
IRF2	IRF1	1
LITAF	MDM2	1
LITAF	MRPL41	1
LITAF	PIK3R1	1
TP53	LITAF	1
LITAF	TP53	1
TP53	BTG2	1
TP53	GREM1	1
TP53	MRPL41	1
TP53	PIK3R1	1
SP3	CDKN1A	1
TP53	PCNA	1
STAT1	IFNB1	-1
JUN	ATF2	1
ATF2	JUN	1
ATF2	TNFRSF11A	1
JUN	TNFRSF11A	1
YBX1	ERCC2	1
YBX1	ERCC3	1
YBX1	XRCC1	1
HSF1	CXCL8	1
HSF1	ICAM1	1
HSF1	IL6	1
HSF1	TNF	1
HSF1	IL1B	1
PPARA	UCP3	1
REL	JAG1	1
RELA	JAG1	1
HES1	FCER1G	1
EGR1	F3	1
SRF	EGR1	1
EGR1	SRF	1
FOXE1	TPO	1
POU4F1	BCL2	1
NOTO	BTK	1
HNF4A	SERPINA1	1
HNF1A	SERPINA1	1
HNF1B	SERPINA1	1
SOX9	EPYC	1
PAX3	FGF2	1
ID2	HBG1	1
JUN	CSF2	1
NFATC2	CSF2	1
VDR	CSF2	-1
MEF2A	JUN	1
GATA6	NPPA	1
SP140	IFNG	1
RUNX2	MMP13	1
YBX1	MMP13	-1
FLI1	EPO	1
FLI1	RB1	1
FLI1	CFC1	1
PDX1	CHKA	1
PDX1	INS	1
HNF1A	HNF4A	1
HNF4A	HNF1A	1
NR2F2	HNF1A	1
HNF1A	INS	1
NR1H4	CYP7A1	-1
ASCL1	NGF	1
HES1	NGF	1
RFX1	PCNA	-1
CRX	SAG	1
NRL	SAG	1
E2F1	DHFR	1
TBP	DHFR	1
PAX5	IL2	1
USF1	JCHAIN	1
NR5A1	GRIN2C	1
JDP2	POLI	1
UBTF	POLI	1
JUN	THBS1	1
WT1	THBS1	1
SP1	IGFBP4	1
ESR2	PRL	1
NR5A1	CTLA4	1
MYBL2	BCL2	1
ELF2	TEK	1
ELF1	CD4	1
AR	NCOA4	1
NCOA4	AR	1
NR2C2	CYP24A1	-1
TP53	NDN	1
ZNF571	TRIM28	1
MAX	TP53	1
MYC	TP53	1
TP53	MYC	-1
TP53	NFKB1	1
NFKB1	TP53	1
TP53	RELA	1
RELA	TP53	1
CRX	GRB10	1
JUN	GSC	1
JUN	GHRHR	1
TP63	IL12B	1
NFKBIB	NOS2	1
NR2F2	ALDH2	1
AHR	ALDH3A1	1
OTX2	GRB10	1
HOXC6	NCAM1	1
HR	NCAM1	1
FOXO1	IGFBP1	1
STAT1	CSN2	1
STAT5A	CSN2	1
STAT5B	CSN2	1
GATA4	FGF3	1
IRF1	CCL4	1
IRF8	SAMHD1	1
TP53	PGAM2	1
SPI1	UTRN	1
AHR	CYP1A1	1
PITX2	SIGLEC1	1
NR5A2	CYP7A1	-1
STAT1	SOCS3	1
STAT3	SOCS3	1
POU2F1	IL5	1
YY1	IL5	1
SP1	CCND3	1
RARA	PLAU	1
SP1	PLAU	1
LEF1	MMP7	1
SPI1	BTK	1
SP1	BTK	1
SP3	BTK	1
SP1	SP3	1
SP3	SP1	1
XBP1	EGFR	1
STAT6	IL4	1
STAT6	SELP	1
SREBF1	APOA2	1
SP1	SLC2A1	1
CEBPB	FSHB	1
GATA4	STAR	1
EGR1	MMP12	-1
TCF3	EMC7	1
CEBPG	HP	1
LRRFIP1	PDGFA	-1
EGR1	PDGFA	1
SP1	PDGFA	1
TP53	IL6	-1
TCF12	NEUROD1	1
JUN	ABCB1	-1
RELA	CD40LG	1
IKZF3	BCL2	1
SP1	ABCC8	1
STAT5A	GH1	1
STAT5A	INS	1
STAT5A	PRL	1
STAT5A	PRLR	1
STAT5B	GH1	1
STAT5B	INS	1
STAT5B	PRL	1
STAT5B	PRLR	1
NFKBIB	PLG	1
E4F1	PVR	1
SP1	CEBPA	-1
CEBPB	SP1	1
SP1	CEBPD	1
CEBPD	SP1	1
GTF2I	BTK	1
NR3C1	BCL2	-1
HOXB1	CD1A	1
STAT6	CREBBP	1
RBPJ	IL6	1
SP1	ODC1	1
SP3	ODC1	-1
JUN	IGFBP1	-1
MYC	ACTB	1
MYC	BRCA1	1
BRCA1	MYC	1
NR5A1	CYP19A1	1
ENO1	IL6	1
XBP1	IL6	-1
ZNF362	NODAL	1
PPARA	VCAM1	-1
ESR1	NRIP1	1
MYC	BIN1	1
MYC	ODC1	1
MYC	PTMA	1
NRF1	CXCR4	1
GATA1	BCL2L1	1
MYCN	NDRG1	-1
MYC	NDRG1	-1
MAX	NDRG1	-1
PKNOX1	HOXB1	1
NR4A3	IL2	1
NR4A3	IL4	1
NR4A3	ITK	1
NR4A3	CD28	1
TP63	CDKN1A	1
NRG1	PXN	1
SSRP1	MAPK8	1
SSRP1	TRAF1	1
SP1	CYP11A1	1
MAZ	MYC	1
ZNF91	MYC	-1
TBP	ACHE	1
SSRP1	INS	1
ESR1	COMT	1
SPI1	TIMP1	1
POU1F1	GH1	1
NR2C1	HRH1	-1
ATF1	EGR1	1
CREB1	EGR1	1
ATF1	MAP2K2	1
ID3	BMP4	1
ID2	ID3	1
ID3	ID2	1
ERF	CRYAA	1
JUN	CRYAA	1
EGR1	ABCB1	1
ZNF354C	ABCB1	1
WT1	ABCB1	1
USF1	PDX1	1
YY1	CETP	1
SREBF1	CETP	1
EGR1	EGF	1
EGR1	TKT	1
ELF1	FCGRT	-1
ELF1	IGHE	1
GATA1	FCGRT	1
GATA1	IGHE	1
HMGA1	LY6E	1
HMGA2	LY6E	1
POU2F1	LY6E	1
POU2F2	LY6E	1
GATA1	EPB42	1
PHOX2B	DBH	1
PHOX2B	FOS	1
POU1F1	PRDX6	1
SP1	PRDX6	1
CREB1	MYB	1
SREBF2	KPNB1	1
AHR	CDKN1B	1
ELF1	LYZ	1
ELF4	LYZ	1
SREBF1	SCD5	1
TP53	GABRA6	1
TP53	TUBB3	1
TTF1	SLC5A5	1
DLX4	GATA1	1
STAT1	CD40	1
NR0B1	STAR	-1
AR	STAR	1
NR1I2	CYP3A4	1
HNF1A	CYP7A1	1
NR1H3	CYP7A1	1
NR2F2	CYP7A1	1
IRF1	TNF	1
MITF	TPSB2	1
STAT5A	HSD3B2	1
MAX	STAT5A	1
CREB1	PRL	1
NCOA1	PRL	1
NR4A1	PRL	1
VDR	PRL	1
NCOR1	MYOD1	1
STAT1	IFNA1	1
WT1	BCL2	1
FOS	CLU	-1
FOSL1	CLU	1
JUNB	CLU	1
CREB1	TH	1
JUN	SFTPB	-1
PAX6	UNC5C	1
ASCL1	EHD1	1
MTF2	ACE2	1
CREM	INS	1
CREM	TAF4	1
TBP	INS	1
SREBF1	PPARG	1
PPARG	SREBF1	1
PPARG	SREBF2	-1
SREBF2	PPARG	1
ESR1	CKB	1
ESR2	OXT	1
PAX3	PDGFRA	-1
CEBPG	HPN	1
SP1	HPN	1
TFAP2A	HPN	1
SP1	ABCB1	1
YBX1	ABCB1	1
JUN	SPI1	1
SPI1	JUN	1
USF1	SPP1	1
HIF1A	VEGFA	1
SMAD4	CDKN1A	1
PDX1	S100G	1
VDR	S100G	1
DNMT1	CFTR	1
KLF5	MYH10	1
KLF5	GZMA	1
ESR1	C3	1
NR3C1	CSN2	1
NR3C2	CSN2	1
PGR	CSN2	-1
EGR1	TNF	1
TBP	SNAP25	1
IRF1	IL18	1
STAT5A	IL4	1
STAT5B	IL4	1
SP1	FN1	1
DLX4	THEG	1
ZBTB12	THEG	1
DLX4	FN1	1
FOS	FN1	1
JUN	FN1	1
MYC	FN1	-1
ZBTB12	FN1	1
PPARG	FABP4	1
PDX1	PRKCG	1
PDX1	PSMA5	1
STAT5A	BCL2L1	1
SP1	LEP	1
STAT5A	OSM	1
EGR1	MMP14	1
ESR1	SPP1	1
ESR2	SPP1	1
MYRF	COL5A2	1
PPARG	CD36	1
POU2F2	TGFA	1
PDX1	GFAP	1
STAT1	PTGS2	1
STAT5A	PTGS2	1
SSRP1	HES1	1
SSRP1	HES5	1
SSRP1	NOTCH3	1
CEBPB	IL6	-1
TP53	PVR	1
PAX5	CD79A	1
PAX5	RAG2	1
PAX5	EBF1	1
EBF1	PAX5	1
TP53	CREBBP	1
CREBBP	TP53	1
ETS1	PARP1	1
TP53	ACHE	1
TP53	AQP1	1
TP73	AQP1	1
TP73	CREBBP	1
TP73	GADD45A	1
POU2F1	CXCL8	-1
POU2F1	HLA-DRA	-1
ETS1	MGAT5	1
JUN	MGAT5	1
NFYA	CDK1	-1
CEBPG	CD14	1
CEBPB	PRG2	1
GATA1	PRG2	1
GATA1	MBP	1
ZFPM1	MBP	1
CEBPG	MBP	1
CEBPB	MBP	1
PDX1	GCG	1
PDX1	PIK3C3	1
CEBPB	HSP90AA1	1
STAT3	HSP90AA1	1
STAT1	HSP90AA1	-1
STAT1	HSPA4	1
HSF1	HSP90AA1	1
HSF1	HSPA4	1
STAT3	HSPA4	1
CEBPB	HP	1
CEBPB	MAPK1	1
STAT3	HP	1
TEAD2	TP53	1
HIF1A	TFRC	1
MYC	HSPA4	1
SP1	PSEN1	1
NR0B1	NR5A1	-1
NR5A1	NR0B1	1
ESR1	TNFRSF11A	1
SP1	SLC25A5	1
SP1	TNFRSF11A	1
ESR1	E2F1	1
SP1	E2F1	1
SP3	CYP11A1	1
TFAP2A	CYP11A1	1
SP1	SPI1	1
SPI1	SP1	1
SPI1	SP3	1
SP3	SPI1	1
SPI1	CYP11A1	1
STAT3	HSP90AB1	1
ZNF281	ODC1	1
ZNF148	ODC1	1
ZNF148	GAST	1
MAZ	PDIK1L	1
TP53	KRAS	1
TFAM	SLC25A5	1
SP1	PLAT	1
SP3	PLAT	1
SPI1	CSF2RB	1
IRF4	IL1B	1
IRF8	IL1B	1
SPI1	IL1B	1
IRF2	IFNG	1
SP1	NFKBIA	1
AR	DNM1L	1
AR	SRC	1
NCOA1	MSH6	1
NCOA1	PSMD4	1
NCOA2	DNM1L	1
NCOA2	MSH6	1
NCOA2	PSMD4	1
NCOA2	SRC	1
SP1	RECK	1
RUNX1	BLK	1
PAX5	BLK	1
SREBF2	LDLR	1
FOXA1	AFP	1
NR4A2	TH	1
SPI1	TH	1
SP1	MBP	1
NR0B2	SYK	1
NR0B2	IL2	1
PGR	IGFBP1	1
NR5A1	CYP11A1	1
CEBPB	CXCL8	1
HNF1A	UGT1A1	1
NFKB1	CCND1	1
RELA	CCND1	1
CEBPD	IL1B	1
CEBPB	IL1B	1
ESR2	FSHB	1
TP53	BAG1	-1
RELA	PLAU	1
KLF1	HBB	1
REL	CCL2	1
RELA	CCL2	1
TP53	MDM4	1
TP73	MDM4	1
WT1	MYCN	-1
AHR	CTSD	1
ARNT	CTSD	1
CREB1	JUN	-1
SP1	HMGA2	1
SP3	HMGA2	1
CEBPG	PCK1	1
DDIT3	HSPA4	1
FOS	HSPA5	1
PGR	IGFBP5	1
CEBPG	STAR	1
NRG1	EGF	1
NRG1	PIK3R1	1
PPARA	EDN1	-1
ATF2	EP300	1
GATA4	ANKRD1	1
NKX2-5	ANKRD1	1
NFATC2	XCL1	1
RELA	CXCL8	1
LHX3	ESR1	1
NR5A1	SCARB1	1
NFIC	AR	1
TP53	IL2	-1
FOS	CCND2	1
TFAP2A	IL3	1
YY1	IL3	1
PAX3	TYRP1	1
PAX3	FN1	1
MITF	PAX3	1
PAX3	MITF	1
CTCF	LYZ	1
RELA	TNF	1
NFKB1	TNF	1
STAT5A	IL7R	1
CEBPB	CETP	1
CEBPG	CETP	1
WT1	AREG	1
DBP	CYP2A13	1
DBP	IGKV2D-26	1
NFIC	CYP1A1	-1
PITX2	PRL	1
BCL6	IL4	1
BCL6	STAT6	1
STAT6	BCL6	1
BCL6	IGHE	1
RB1	E2F1	-1
E2F1	RB1	1
SP1	LHCGR	1
SP3	LHCGR	1
HNF1B	INS	1
HNF4A	INS	1
TFCP2	HBA1	1
REST	GRIA2	-1
ESRRA	CYP19A1	1
HOXD3	PLAU	1
SP1	PDLIM7	1
SP3	PDLIM7	1
IRF9	IFNL3	1
TFE3	SLC34A1	1
NR2F2	PKLR	-1
ZNF236	PKLR	1
USF1	PKLR	1
JUNB	IL6	-1
STAT3	JUNB	1
SP1	CCND1	1
TFAP2A	MXI1	1
ESR1	TFAP2A	1
TFAP2A	ESR1	1
ESR1	TFAP2C	1
TFAP2C	ESR1	1
IRF1	SLPI	-1
CEBPA	PRL	1
DDIT3	PRL	1
PAX8	TNF	1
PAX8	TG	1
TTF1	TG	1
NKX2-1	TG	1
NKX2-1	TNF	1
TTF1	TNF	1
WT1	IGF1R	-1
PGR	PRL	-1
ESR1	CCND1	1
PBX1	PREB	1
TCF3	PREB	1
PBX1	WNT16	1
TCF3	WNT16	1
MYC	ACHE	1
MYC	KAT2B	1
SP1	ITGAV	1
SP3	ITGAV	1
NR0B1	ABCD2	1
NR0B1	ABCD3	1
E2F1	CCNE1	1
E2F1	CCND1	1
TP53	YY1	1
YY1	TP53	1
IRF1	CIITA	1
CIITA	IRF1	1
CDX2	GCG	1
POU3F4	GCG	1
SP1	MMP2	1
SP3	MMP2	1
TFAP2A	MMP2	1
CEBPG	MMP2	1
ETV4	MMP2	1
ELF3	FOLH1	1
ELF5	FOLH1	1
ELF3	KLK3	1
ELF5	KLK3	1
ATF2	CDKN1A	1
JUNB	CDKN1A	1
JUND	CDKN1A	1
JUN	PDGFB	1
MYC	CCND2	1
MAX	CCND2	1
MYC	MAX	1
MAX	MYC	-1
MYC	MXD1	1
TCF12	CD4	1
ZEB1	CD4	-1
EGR1	FAS	-1
EGR3	FASLG	1
FLI1	TGFBR2	1
EWSR1	TGFBR2	-1
CEBPB	S100A8	1
CEBPG	S100A8	1
SP1	BAX	1
ETS1	DDIT3	1
FLI1	DDIT3	1
TP53	ETS1	-1
ETS1	TP53	1
ETS2	TP53	1
DDIT3	GADD45A	1
SP1	POU5F1	1
STAT5A	FOS	1
EGR1	NAB2	1
NAB2	EGR1	-1
TP53	CDK1	-1
TP53	STMN1	-1
NR1H4	FABP6	1
TP53	CDKN1B	1
NR1I3	SGIP1	1
TP53	SGIP1	1
NR3C1	CRH	-1
HNF1B	HNF4A	1
HNF4A	HNF1B	1
NR3C1	SERPINE1	-1
TP53	MAP4	-1
DEAF1	HNRNPA2B1	-1
ESR1	HRAS	1
TBPL1	GTF2B	1
TBPL1	GTF2A1	1
MYOD1	CDKN1C	1
MYOD1	CCNE1	1
MYOD1	CDK2	1
RELB	IL1A	1
RELB	IL1B	1
RELB	TNF	1
JUN	MCF2	1
MEF2C	JUN	1
SPI1	ETS2	1
TFAP2A	CDH1	1
MYC	CDH1	1
MYB	TOM1	1
POU4F2	PAX6	1
POU4F2	EPO	1
TAL1	PIK3C3	1
STAT6	IRF1	1
IRF1	STAT1	1
STAT1	IRF1	1
HNF1A	CYP27A1	1
TP53	GHRHR	1
TP53	MAP2K1	1
TP53	MAPK1	1
PPARA	UCP1	1
PPARG	UCP1	1
NR4A1	MEF2A	1
MEF2A	NR4A1	1
MEF2A	CABIN1	1
EPAS1	VEGFA	1
CEBPB	GH1	1
FOS	CEBPB	1
CEBPB	FOS	1
CEBPG	FOS	1
CEBPD	GH1	1
DNMT1	PSEN1	1
RUNX1	CR1	1
CEBPG	RNASE2	1
FOS	PRKACA	1
SMARCA1	HBB	1
SREBF1	GCK	1
NFATC4	GSK3B	1
RARA	TRH	1
NCOR1	TRH	1
REST	AVP	-1
ATF1	IL10	1
CREB1	IL10	1
RELA	ADRA1D	1
SPI1	FUT2	1
PPARA	IL6	-1
RELA	IL6	1
KAT7	IL6	1
CEBPG	ALB	1
TP53	ALB	1
SP1	NFYA	1
SPI1	ITGB2	1
SPI1	NCF1C	1
HNF1A	ALB	1
FOXM1	ALB	1
MYB	CEBPB	1
CEBPB	EBP	1
MYB	EBP	1
CEBPB	CEBPA	1
CEBPA	CEBPB	1
CUX1	TRAF6	1
CUX1	NGFR	1
CUX1	PTPN13	1
ARHGAP35	FOS	1
CUX1	TGFBR2	1
MYF5	MYOG	1
MYOG	MYF5	1
MYOG	MEF2A	1
MEF2A	MYOG	1
MYOD1	MYOG	1
MYOG	MYOD1	1
USF1	CCNB1	1
HNF4A	WNT2	1
SSRP1	SPP2	1
MYC	AR	1
AR	MYC	1
SREBF1	CYP51A1	1
SP1	CGB8	1
FOXK1	SCN5A	1
SP1	SCN5A	1
CREB1	TNF	1
SREBF1	RPS14	1
SP1	F3	1
TFAP2A	RECQL4	1
EBF1	BLK	1
NFKB1	ICAM1	1
NFKB1	VCAM1	1
RELA	ICAM1	1
RELA	VCAM1	1
TP53	ING1	1
TP53	MBP	1
ETS1	FLT1	1
SP3	ABCC3	1
SP3	SLC2A1	-1
CEBPE	LTF	1
CEBPG	OSM	1
IRF1	CAMK4	1
IRF1	TRIM63	1
IRF2	CAMK4	1
IRF2	CIITA	1
CIITA	IRF2	1
IRF1	LGALS3	1
IRF2	LGALS3	1
USF1	BRCA2	1
ELF1	BRCA2	1
USF2	BRCA2	1
SP1	TNF	1
SMAD7	SMAD3	-1
SMAD3	SMAD7	1
SMAD4	SMAD7	1
FOSL1	ELN	-1
JUN	ELN	-1
JUN	FGF2	1
TP73	BAX	1
SOX10	CHRNA10	1
POU3F1	CHRNA3	1
SOX10	CHRNA3	1
HIF1A	CDKN1A	1
AHR	GHRHR	1
NR3C1	CPS1	1
NKRF	IFNB1	1
TP53	RNF123	1
TFAP2A	MPG	1
ATF6	HSPA5	1
STAT5A	IL6	1
SP1	CD74	1
ATF1	TGFB2	1
CREB1	TGFB2	1
ATF1	TGFBR2	1
CREB1	CBLIF	1
CREB1	TGFBR2	1
USF1	CBLIF	1
USF1	TGFBR2	1
USF2	CBLIF	1
GATA5	NPPA	1
SP1	OAS1	1
SP3	OAS1	1
HOPX	FKBP4	1
MYC	CAD	1
USF1	CAD	1
TCF3	INS	1
HR	XRCC1	1
JUND	NR4A1	1
NKX6-1	INS	1
FOS	UBE2B	1
JUN	UBE2B	1
IRF1	NCF2	1
IRF8	NCF2	1
SPI1	SAMHD1	1
IRF1	CREBBP	1
CREBBP	IRF1	1
IRF8	CREBBP	1
KLF5	LTF	1
YBX1	TAT	1
CEBPB	ABCC2	1
EGR1	TP73	1
TP73	SP1	-1
SP1	TP73	1
TFAP2A	TP73	1
ERG	ICAM2	1
HNF4A	ANG	1
SP1	NOS3	1
FEV	DDC	1
ID3	PDLIM7	1
ZNF316	PDLIM7	1
ZNF316	RGS2	1
KLF1	HBD	1
SREBF1	SCARB1	1
SP1	EMB	1
SP3	GAST	1
CTCF	APP	1
PITX3	ALDH2	1
ATF2	PVR	1
NFKB1	BCL2L1	1
RELA	BCL2L1	1
SP1	SERPINH1	1
DNMT1	VEGFA	1
HR	VEGFA	1
YY1	PTPRA	1
STAT1	IVL	1
ID1	FASN	1
SREBF1	FASN	1
ID2	FAS	-1
ID3	FAS	-1
ID1	ADD1	1
CREM	IL2	1
STAT6	CCL11	1
WT1	TGFB1	1
MITF	TYR	1
TFAP2A	KRT10	-1
CEBPA	KRT10	1
CEBPB	KRT10	1
CEBPB	TFAP2A	1
CEBPG	TFAP2A	1
TFAP2A	CEBPA	-1
HIF1A	SERPINE1	1
